stid,hisei,hisced,famstruc,sex,hlang,wealth,m2m_p,m2m_s,wkp2019,hsl2019,hel2019,fts2019,sa3,brthplace_aust_2011_ce_p,brthplace_elsewhere_2011_ce_p,lsh_eng_only_2011_ce_p,lsh_oth_lan_2011_ce_p,med_tot_hh_inc_wee_c2011,average_hh_size_c2011,lfs_unem_lfw_c11_m,lfs_tot_lforc_c11_m,n_lforc_c11_m
1299,65,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.99,"1 No, never","1 No, never",2460.68,1 Year 12,BA,3 Not studying,12101,55961,39609,64903,31025,2071,2.6,1168,27937,8738
1300,66,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,1 Female,1 Language of test,.7,"1 No, never","1 No, never",530.4400000000001,1 Year 12,Cert III/IV/Dip,3 Not studying,31802,139883,23192,152671,10474,1381,2.6,2347,48225,14957
1301,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,2 Male,1 Language of test,.99,"1 No, never","1 No, never",,1 Year 12,No qual,1 Full-time,30402,28993,13210,37322,4999,2239,3,495,12025,3950
1302,87,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.34,"1 No, never","3 Yes, twice or more",,1 Year 12,BA,3 Not studying,20505,34783,4302,37460,1336,907,2.4,523,10163,5729
1303,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,2 Male,1 Language of test,.45,"1 No, never","1 No, never",1770.93,1 Year 12,No qual,3 Not studying,11502,19074,5435,21078,3584,1813,3,275,7178,2517
1304,74,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.33,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,10102,41311,9235,44878,6042,1688,2.6,473,15856,4095
1305,43,5 ISCED 5B - TAFE Diploma,2 Nuclear family,2 Male,1 Language of test,.99,"1 No, never","1 No, never",,1 Year 12,Cert III/IV/Dip,3 Not studying,12401,59112,12532,68457,3854,1270,2.5,1019,19351,8207
1306,38,5 ISCED 5B - TAFE Diploma,1 Single parent family,1 Female,1 Language of test,.58,"1 No, never","1 No, never",612.9400000000001,1 Year 12,Cert III/IV/Dip,3 Not studying,20901,87383,26186,91061,23235,1394,2.6,1481,31996,12638
1307,49,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,2 Male,1 Language of test,1,"1 No, never","1 No, never",393.49,1 Year 12,Cert III/IV/Dip,3 Not studying,11102,60164,7089,65424,2300,1061,2.6,972,16788,9707
1308,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,0,"1 No, never","1 No, never",1307.17,1 Year 12,BA,3 Not studying,30305,29144,21817,33292,17945,1541,3,884,15030,4646
1309,38,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,2 Another language,1.77,"3 Yes, twice or more","1 No, never",,1 Year 12,BA,3 Not studying,51001,26756,4834,23740,6198,1438,2.9,475,8213,4384
1310,25,"3 ISCED 3B, 3C - Yr 10 or 11",2 Nuclear family,2 Male,1 Language of test,.4,"1 No, never","1 No, never",1393.91,1 Year 12,Cert III/IV/Dip,3 Not studying,40203,38088,19747,39402,18290,966,2.4,1109,15241,8287
1311,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.4,"2 Yes, once","1 No, never",1288.04,2 Year 11,BA,3 Not studying,12504,57892,59005,56505,60350,1376,2.6,2001,35009,12433
1312,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.99,"1 No, never","1 No, never",2243.13,1 Year 12,Cert III/IV/Dip,3 Not studying,10501,21563,1464,22659,725,876,2.4,455,6248,3006
1313,68,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.98,"1 No, never","1 No, never",,1 Year 12,Post-grad,1 Full-time,21005,75875,48594,59722,66002,1157,3.1,2388,32611,14773
1314,88,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,2 Another language,1.78,"1 No, never","3 Yes, twice or more",,1 Year 12,Post-grad,3 Not studying,50501,89359,57435,132437,14989,1780,2.8,1743,45877,11890
1315,59,"3 ISCED 3B, 3C - Yr 10 or 11",1 Single parent family,1 Female,1 Language of test,1.78,"1 No, never","1 No, never",682.38,1 Year 12,BA,1 Full-time,11503,19675,2856,21751,967,1577,3,247,6939,2068
1316,43,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,2 Male,1 Language of test,1,"1 No, never","1 No, never",,1 Year 12,Cert III/IV/Dip,3 Not studying,70201,27905,5433,21045,11160,1514,2.9,502,8876,3310
1317,65,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.98,"1 No, never","1 No, never",,1 Year 12,Post-grad,3 Not studying,12101,55961,39609,64903,31025,2071,2.6,1168,27937,8738
1318,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.34,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,80107,67563,16338,73268,11140,1963,2.8,866,26249,6328
1319,53,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,2 Male,1 Language of test,.71,"3 Yes, twice or more","3 Yes, twice or more",1186.11,1 Year 12,No qual,3 Not studying,50201,57685,20160,74651,3739,992,2.4,1279,19457,10835
1320,71,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,1.34,"1 No, never","1 No, never",1412.93,1 Year 12,BA,3 Not studying,10102,41311,9235,44878,6042,1688,2.6,473,15856,4095
1321,51,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.22,"1 No, never","1 No, never",,1 Year 12,Cert III/IV/Dip,3 Not studying,21203,79299,43661,87290,36389,1339,3.1,1842,35790,10012
1322,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,31103,49922,19034,58858,10629,1306,3,1329,19593,5875
1323,71,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.21,"1 No, never","1 No, never",,1 Year 12,Post-grad,3 Not studying,40105,23061,10155,24724,8684,1133,2.2,503,9240,4248
1324,48,"3 ISCED 3B, 3C - Yr 10 or 11",2 Nuclear family,1 Female,1 Language of test,.21,"1 No, never","1 No, never",932.89,2 Year 11,Cert III/IV/Dip,2 Part-time,60203,31181,3534,34633,622,811,2.4,722,8715,5426
